No	TMNo	EnNo	Name	INOUT	Mode	DateTime
423	1	14		0	6	2018/01/04 19:29:16
424	1	9		0	6	2018/01/04 20:52:07
425	1	14		0	6	2018/01/04 23:14:16
426	1	11		0	0	2018/01/05 07:51:44
427	1	1		0	5	2018/01/05 08:22:28
428	1	7		0	5	2018/01/05 08:31:18
429	1	7		0	5	2018/01/05 08:31:18
430	1	10		0	5	2018/01/05 08:37:35
431	1	6		0	5	2018/01/05 08:45:30
432	1	20		0	5	2018/01/05 08:46:38
433	1	4		0	5	2018/01/05 08:50:45
434	1	22		0	5	2018/01/05 09:01:02
435	1	5		0	5	2018/01/05 09:03:12
436	1	17		0	5	2018/01/05 09:05:06
437	1	12		0	5	2018/01/05 09:06:42
438	1	16		0	5	2018/01/05 09:14:56
439	1	21		0	5	2018/01/05 09:15:01
440	1	15		0	5	2018/01/05 09:19:41
441	1	2		0	5	2018/01/05 09:19:53
442	1	14		0	5	2018/01/05 09:23:56
443	1	18		0	5	2018/01/05 09:25:41
444	1	3		0	5	2018/01/05 09:52:46
445	1	4		0	6	2018/01/05 12:00:04
446	1	4		0	6	2018/01/05 12:00:04
447	1	2		0	6	2018/01/05 12:00:10
448	1	5		0	6	2018/01/05 12:00:14
449	1	1		0	6	2018/01/05 12:00:49
450	1	12		0	6	2018/01/05 12:00:54
451	1	5		0	6	2018/01/05 12:01:01
452	1	2		0	6	2018/01/05 12:01:06
453	1	2		0	6	2018/01/05 12:01:06
454	1	20		0	6	2018/01/05 12:01:09
455	1	22		0	6	2018/01/05 12:01:18
456	1	21		0	6	2018/01/05 12:01:21
457	1	17		0	6	2018/01/05 12:01:57
458	1	17		0	6	2018/01/05 12:01:57
459	1	16		0	6	2018/01/05 12:02:11
460	1	16		0	6	2018/01/05 12:02:11
461	1	3		0	6	2018/01/05 12:02:14
462	1	18		0	6	2018/01/05 12:02:32
463	1	13		0	6	2018/01/05 12:02:48
464	1	13		0	6	2018/01/05 12:02:48
465	1	6		0	6	2018/01/05 12:03:05
466	1	6		0	6	2018/01/05 12:03:05
467	1	6		0	6	2018/01/05 12:03:08
468	1	14		0	6	2018/01/05 12:15:38
469	1	14		0	6	2018/01/05 12:15:38
470	1	14		0	6	2018/01/05 12:15:40
471	1	4		0	5	2018/01/05 12:21:34
472	1	14		0	5	2018/01/05 12:31:59
473	1	22		0	5	2018/01/05 12:32:02
474	1	16		0	5	2018/01/05 12:34:02
475	1	17		0	5	2018/01/05 12:34:07
476	1	21		0	5	2018/01/05 12:34:09
477	1	18		0	5	2018/01/05 12:34:14
478	1	12		0	5	2018/01/05 12:35:29
479	1	20		0	5	2018/01/05 12:36:08
480	1	3		0	5	2018/01/05 12:42:29
481	1	1		0	5	2018/01/05 12:42:34
482	1	6		0	5	2018/01/05 12:42:44
483	1	6		0	5	2018/01/05 12:42:44
484	1	5		0	5	2018/01/05 13:00:16
485	1	13		0	5	2018/01/05 13:00:18
486	1	13		0	5	2018/01/05 13:00:18
487	1	2		0	5	2018/01/05 13:44:32
488	1	20		0	5	2018/01/05 14:52:10
